;hp;ice;plb
invest;2073806.7228169036;5354247.774549998;256800.00000000003
op_cost_fix;17281.722690140865;54951.49031774998;8346.0
op_cost_var;5308.318614317116;117252.57581141112;20338.39148797414
op_cost;22590.04130445798;172204.0661291611;28684.39148797414
