;Emissions DM;Emissions OM;H_ice;H_plb;H_source;P_ice;P_ice_no_bonus;P_ice_with_bonus;P_in_hp;P_source;P_spotmarket;Q_demand;Q_ice;Q_out_hp;Q_plb;enw_to_spotmarket
2019-01-02 13:00:00;-1.1752492747159862;-0.2555926762961864;9.730897409848936;0.0;9.730897409848936;4.372358630675437;4.372358630675437;0.0;0.0;0.0;4.372358630675437;3.458334586;3.458334586;0.0;0.0;4.372358630675437
2019-01-02 14:00:00;-1.208063159605717;-0.3023269488690705;9.757204690392825;0.0;9.757204690392825;4.385851586356024;4.385851586356024;0.0;0.0;0.0;4.385851586356024;3.466011748;3.466011748;0.0;0.0;4.385851586356024
2019-01-02 15:00:00;-1.3668958326230012;-0.44702316677248577;10.678043192709085;0.0;10.678043192709085;4.858147956176608;4.858147956176608;0.0;0.0;0.0;4.858147956176607;3.734736839;3.734736839;0.0;0.0;4.858147956176607
2019-01-02 16:00:00;-1.6148417022342314;-0.6615670492422745;12.194723109976993;0.0;12.194723109976993;5.636050289;5.636050289;0.0;0.0;0.0;5.636050289;3.867027452;3.867027452;0.0;0.0;5.636050289
2019-01-02 17:00:00;-1.6151669699685098;-0.682616327511469;12.194723109976993;0.0;12.194723109976993;5.636050289;5.636050289;0.0;0.0;0.0;5.636050289;4.080157595;4.080157595;0.0;0.0;5.636050289
2019-01-02 18:00:00;-1.5848952022550988;-0.6648581864418701;12.194723109976993;0.0998403646185957;12.294563474595588;5.636050289;5.636050289;0.0;0.0;0.0;5.636050289;4.2721926;4.177344253612334;0.0;0.09484834638766593;5.636050289
2019-01-02 19:00:00;-1.5962844799113616;-0.6691249168175095;12.194723109976993;0.21396196146070337;12.408685071437697;5.636050289;5.636050289;0.0;0.0;0.0;5.636050289;4.380608117;4.177344253612333;0.0;0.20326386338766822;5.636050289
2019-01-02 20:00:00;-1.6455481850532783;-0.755298923676377;12.194723109976993;0.015873709881754947;12.210596819858747;5.636050289;5.636050289;0.0;0.0;0.0;5.636050289;4.192424278;4.177344253612333;0.0;0.015080024387667201;5.636050289
2019-01-02 21:00:00;-1.6576451933985674;-0.7992033481709071;12.194723109976993;0.0;12.194723109976993;5.636050289;5.636050289;0.0;0.0;0.0;5.636050289;4.071418149;4.071418149;0.0;0.0;5.636050289
2019-01-02 22:00:00;-1.6786734153838823;-0.8443011514147889;12.194723109976993;0.0;12.194723109976993;5.636050289;5.636050289;0.0;0.0;0.0;5.636050289;3.893700523;3.893700523;0.0;0.0;5.636050289
2019-01-02 23:00:00;-1.5269331114769598;-0.7666976439329809;11.375730258624419;0.0;11.375730258624419;5.21599036575628;5.21599036575628;0.0;0.0;0.0;5.215990365756279;3.938340424;3.938340424;0.0;0.0;5.215990365756279
2019-01-03 00:00:00;-0.40335662397473526;0.10763638023752797;7.095226096087524;0.0;7.095226096087524;3.020527674000001;3.020527674000001;0.0;0.5217807970068555;4.440892098500626e-16;2.498746876993146;4.094548242;2.6891758118446463;1.4053724301553538;0.0;2.498746876993146
2019-01-03 01:00:00;-1.6243176511033472;-0.503659559325631;11.986666543854772;0.0;11.986666543854772;5.529338459890239;5.529338459890239;0.0;0.0;0.0;5.529338459890239;4.116627831;4.116627831;0.0;0.0;5.529338459890239
2019-01-03 02:00:00;-1.628290651200686;-0.49936742010249;12.194723109976993;0.15083010356596624;12.345553213542958;5.636050289;5.636050289;0.0;0.0;0.0;5.636050289;4.320632852;4.177344253612333;0.0;0.14328859838766794;5.636050289
2019-01-03 03:00:00;-0.2676801988246649;0.20091287933448232;7.095226096087522;0.0;7.095226096087522;3.0205276739999998;3.0205276739999998;0.0;0.6872573364482872;0.0;2.3332703375517125;4.747798019;2.6891758118446445;2.0586222071553557;0.0;2.3332703375517125
2019-01-03 04:00:00;-0.1236204553118192;0.29977565469911105;7.095226096087522;0.0;7.095226096087522;3.020527674;3.020527674;0.0;0.8970139960868599;0.0;2.1235136779131403;5.408189111;2.6891758118446454;2.719013299155355;0.0;2.1235136779131403
2019-01-03 05:00:00;-1.239766355549957;-0.2573602074976695;12.194723109976993;0.0;12.194723109976993;5.636050289;5.636050289;0.0;0.5990662030460904;0.0;5.036984085953909;5.778864236;4.177344253612333;1.6015199823876678;0.0;5.036984085953909
2019-01-03 06:00:00;-1.2100655374152862;-0.32374246325855616;12.194723109976993;0.0;12.194723109976993;5.636050289;5.636050289;0.0;0.6519704799121658;0.0;4.984079809087834;5.97728885;4.177344253612332;1.7999445963876681;0.0;4.984079809087834
2019-01-03 07:00:00;-1.1982267654130752;-0.33880038728797324;12.194723109976993;0.0;12.194723109976993;5.636050289;5.636050289;0.0;0.643349939388076;0.0;4.9927003496119235;5.944956352;4.177344253612333;1.7676120983876675;0.0;4.9927003496119235
2019-01-03 08:00:00;-1.2046209356207527;-0.32648081204151724;12.194723109976993;0.0;12.194723109976993;5.636050289;5.636050289;0.0;0.6287592937794966;0.0;5.007290995220504;5.890232171;4.177344253612332;1.7128879173876683;0.0;5.007290995220504
2019-01-03 09:00:00;-1.1766704098694807;-0.23148127317628742;12.194723109976993;0.0;12.194723109976993;5.636050289;5.636050289;0.0;0.6716109019605091;0.0;4.964439387039491;5.994887936;4.177344253612333;1.817543682387667;0.0;4.964439387039491
2019-01-03 10:00:00;-1.0829389736421158;-0.09212183726355372;12.194723109976993;0.0;12.194723109976993;5.636050289;5.636050289;0.0;0.8298502527651299;0.0;4.80620003623487;6.346000701;4.177344253612332;2.1686564473876686;0.0;4.80620003623487
2019-01-03 11:00:00;-1.2242554033517967;-0.1136313364633943;12.194723109976993;0.0;12.194723109976993;5.636050289;5.636050289;0.0;0.6434222714327416;0.0;4.992628017567259;5.729139752;4.177344253612333;1.5517954983876674;0.0;4.992628017567259
2019-01-03 12:00:00;-1.6936083469297647;-0.3838762208051727;12.194723109976993;0.07308326251333222;12.267806372490325;5.636050289;5.636050289;0.0;0.0;0.0;5.636050289;4.246773353;4.177344253612334;0.0;0.06942909938766562;5.636050289
2019-01-03 13:00:00;-1.711674935871803;-0.40529349800452463;12.194723109976993;0.0;12.194723109976993;5.636050289;5.636050289;0.0;0.0;0.0;5.636050289;3.188890003;3.188890003;0.0;0.0;5.636050289
2019-01-03 14:00:00;-1.7148176538734519;-0.4375554897898235;12.194723109976993;0.0;12.194723109976993;5.636050289;5.636050289;0.0;0.0;0.0;5.636050289;3.362715131;3.362715131;0.0;0.0;5.636050289
2019-01-03 15:00:00;-1.7107575503302122;-0.5153687614252584;12.194723109976993;0.0;12.194723109976993;5.636050289;5.636050289;0.0;0.0;0.0;5.636050289;3.843070594;3.843070594;0.0;0.0;5.636050289
2019-01-03 16:00:00;-1.6345431388928926;-0.5166415648420539;12.194723109976993;0.3972030667238608;12.591926176700854;5.636050289;5.636050289;0.0;0.0;0.0;5.636050289;4.554687167;4.177344253612333;0.0;0.3773429133876678;5.636050289
2019-01-03 17:00:00;-1.3169667320453873;-0.3807497049894786;12.194723109976993;0.0;12.194723109976993;5.636050289;5.636050289;0.0;0.5161195302053965;0.0;5.119930758794603;5.446712459;4.177344253612331;1.2693682053876687;0.0;5.119930758794603
2019-01-03 18:00:00;-1.0701515651984201;-0.24131441825721867;12.194723109976993;0.0;12.194723109976993;5.636050289;5.636050289;0.0;0.84209100075837;0.0;4.79395928824163;6.417199409;4.177344253612333;2.2398551553876676;0.0;4.79395928824163
2019-01-03 19:00:00;-1.2633805539224867;-0.40479727664555565;12.194723109976993;0.0;12.194723109976993;5.636050289;5.636050289;0.0;0.6168693059976342;0.0;5.019180983002366;5.661818343;4.177344253612333;1.4844740893876676;0.0;5.019180983002366
2019-01-03 20:00:00;-1.7274392503326506;-0.7722159329532725;12.194723109976993;0.0;12.194723109976993;5.636050289;5.636050289;0.0;0.0;0.0;5.636050289;3.953340984;3.953340984;0.0;0.0;5.636050289
2019-01-03 21:00:00;-1.7150614074124007;-0.7563544473493917;12.194723109976993;0.0;12.194723109976993;5.636050289;5.636050289;0.0;0.0;0.0;5.636050289;3.18198801;3.18198801;0.0;0.0;5.636050289
2019-01-03 22:00:00;-1.1948080080726873;-0.49618166506829176;9.304416676924228;0.0;9.304416676924228;4.153617449184764;4.153617449184764;0.0;0.0;0.0;4.153617449184764;3.3338762;3.3338762;0.0;0.0;4.153617449184764
2019-01-03 23:00:00;-1.356385259478941;-0.5813498020131846;10.252878837770156;0.0;10.252878837770156;4.640081942527451;4.640081942527451;0.0;0.0;0.0;4.640081942527451;3.610662607;3.610662607;0.0;0.0;4.640081942527451
2019-01-04 00:00:00;-1.1546933441098184;0.1760665604591276;11.465111704997964;0.0;11.465111704997964;5.261833944782736;5.261833944782736;0.0;0.0;0.0;5.261833944782736;3.9644243;3.9644243;0.0;0.0;5.261833944782736
2019-01-04 01:00:00;-1.1537652163713146;0.2568691800737981;12.194723109976993;0.4895270109343867;12.68425012091138;5.636050289;5.636050289;0.0;0.0;0.0;5.636050289;4.642394914;4.177344253612333;0.0;0.4650506603876674;5.636050289
2019-01-04 02:00:00;-0.7415506895171582;0.3368544522568193;10.848339888083823;0.0;10.848339888083823;4.9454928172088275;4.9454928172088275;0.0;0.528578106;0.0;4.416914711208827;5.024427526;3.784433930125605;1.2399935958743953;0.0;4.416914711208827
2019-01-04 03:00:00;-0.8021014318671784;0.2815628052975456;11.094548895325795;0.0;11.094548895325795;5.071772963016171;5.071772963016171;0.0;0.5402968979999999;0.0;4.531476065016171;5.101294329;3.8562842466682934;1.2450100823317065;0.0;4.531476065016171
2019-01-04 04:00:00;-0.8257467112609134;0.16246125443288117;10.70410185118678;0.0;10.70410185118678;4.871513394057899;4.871513394057899;0.0;0.5461068040000001;0.0;4.3254065900578995;4.989482031;3.742341446488873;1.2471405845111265;0.0;4.3254065900578995
2019-01-04 05:00:00;-1.4765481280875972;-0.2543554788508202;12.194723109976998;0.05840692777648975;12.253130037753488;5.636050289000003;5.636050289000003;0.0;0.0;0.0;5.636050289000003;4.232830835;4.177344253612334;0.0;0.05548658138766527;5.636050289000003
2019-01-04 06:00:00;-1.4505705427757833;-0.22747547171093352;12.194723109976993;0.13386374356596578;12.328586853542959;5.636050289;5.636050289;0.0;0.0;0.0;5.636050289;4.30451481;4.177344253612333;0.0;0.1271705563876675;5.636050289
2019-01-04 07:00:00;-1.4350210712153757;-0.05570800412627808;12.194723109976993;0.2195938835659659;12.41431699354296;5.636050289;5.636050289;0.0;0.0;0.0;5.636050289;4.385958443;4.177344253612333;0.0;0.20861418938766763;5.636050289
2019-01-04 08:00:00;-1.372323630518589;0.18172255666435655;12.194723109976993;0.5954570330396506;12.790180143016643;5.636050289;5.636050289;0.0;0.0;0.0;5.636050289;4.743028435;4.177344253612333;0.0;0.5656841813876681;5.636050289
2019-01-04 09:00:00;-1.3960831256687407;0.42688286129511654;12.194723109976993;0.6597308456712293;12.854453955648221;5.636050289;5.636050289;0.0;0.0;0.0;5.636050289;4.804088557;4.177344253612333;0.0;0.6267443033876678;5.636050289
2019-01-04 10:00:00;-1.435529431557487;0.5752570126110985;12.194723109976993;0.3861132309343871;12.580836340911379;5.636050289;5.636050289;0.0;0.0;0.0;5.636050289;4.544151823;4.177344253612333;0.0;0.3668075693876678;5.636050289
2019-01-04 11:00:00;-1.4247315425762666;0.6059612338914095;11.913113278824346;0.0;11.913113278824346;5.491613125887653;5.491613125887653;0.0;0.0;0.0;5.491613125887653;4.095163038;4.095163038;0.0;0.0;5.491613125887653
2019-01-04 12:00:00;-1.1418144920209508;0.5868035062293477;10.173805306700666;0.0;10.173805306700666;4.5995252742527475;4.5995252742527475;0.0;0.0;0.0;4.5995252742527475;3.587586854;3.587586854;0.0;0.0;4.5995252742527475
