;hp;ice;plb
invest;2050626.5053870901;5354247.774549998;256800.00000000003
op_cost_fix;17088.554211559087;54951.49031774998;8346.0
op_cost_var;3350.2385220067104;124828.87069177744;24179.03092076367
op_cost;20438.7927335658;179780.3610095274;32525.03092076367
