;Emissions DM;Emissions OM;H_ice;H_plb;H_source;P_ice;P_ice_no_bonus;P_ice_with_bonus;P_in_hp;P_source;P_spotmarket;Q_demand;Q_ice;Q_out_hp;Q_plb;enw_to_spotmarket
2019-09-15 20:00:00;0.252744244520421;0.252744244520421;0.0;1.2561841178947366;1.2561841178947366;0.0;0.0;0.0;0.0;0.0;0.0;1.193374912;0.0;0.0;1.193374912;0.0
2019-09-15 21:00:00;0.2537379524711579;0.2537379524711579;0.0;1.2611230242105262;1.2611230242105262;0.0;0.0;0.0;0.0;0.0;0.0;1.198066873;0.0;0.0;1.198066873;0.0
2019-09-15 22:00:00;0.2543831066248421;0.2543831066248421;0.0;1.2643295557894736;1.2643295557894736;0.0;0.0;0.0;0.0;0.0;0.0;1.201113078;0.0;0.0;1.201113078;0.0
2019-09-15 23:00:00;0.26801106712842104;0.26801106712842104;0.0;1.332062957894737;1.332062957894737;0.0;0.0;0.0;0.0;0.0;0.0;1.26545981;0.0;0.0;1.26545981;0.0
2019-09-16 00:00:00;0.2729676549667368;0.2729676549667368;0.0;1.3566980863157894;1.3566980863157894;0.0;0.0;0.0;0.0;0.0;0.0;1.288863182;0.0;0.0;1.288863182;0.0
2019-09-16 01:00:00;0.2803904958572631;0.2803904958572631;0.0;1.3935909336842105;1.3935909336842105;0.0;0.0;0.0;0.0;0.0;0.0;1.323911387;0.0;0.0;1.323911387;0.0
2019-09-16 02:00:00;0.292828097224421;0.292828097224421;0.0;1.4554080378947367;1.4554080378947367;0.0;0.0;0.0;0.0;0.0;0.0;1.382637636;0.0;0.0;1.382637636;0.0
2019-09-16 03:00:00;-0.5996013612377877;0.03039594324997208;7.232466004995919;0.0;7.232466004995919;3.0909177702100328;3.0909177702100328;0.0;0.0;0.0;3.0909177702100323;1.523183825;1.523183825;0.0;0.0;3.0909177702100323
2019-09-16 04:00:00;-0.9128629914616386;-0.14309628064684876;9.054290008416757;0.0;9.054290008416757;4.025327942138475;4.025327942138475;0.0;0.0;0.0;4.025327942138475;1.751044037;1.751044037;0.0;0.0;4.025327942138475
2019-09-16 05:00:00;-1.3977318865202317;-0.3962731742345391;12.194723109976993;0.0;12.194723109976993;5.636050289;5.636050289;0.0;0.0;0.0;5.636050289;2.175909311;2.175909311;0.0;0.0;5.636050289
2019-09-16 06:00:00;-1.400775889101069;-0.4304917321497652;12.194723109976993;0.0;12.194723109976993;5.636050289;5.636050289;0.0;0.0;0.0;5.636050289;2.15827753;2.15827753;0.0;0.0;5.636050289
2019-09-16 07:00:00;-1.258538622718576;-0.24836918876349134;11.252662184047047;0.0;11.252662184047047;5.152868977241903;5.152868977241903;0.0;0.0;0.0;5.152868977241903;2.026000097;2.026000097;0.0;0.0;5.152868977241903
2019-09-16 08:00:00;-1.1346501911458486;-0.076881887633649;10.37329692331072;0.0;10.37329692331072;4.701844156551404;4.701844156551404;0.0;0.0;0.0;4.701844156551404;1.916015623;1.916015623;0.0;0.0;4.701844156551404
2019-09-16 09:00:00;-0.8619113004875676;0.07630456858085433;8.561135126322755;0.0;8.561135126322755;3.772389712485366;3.772389712485366;0.0;0.0;0.0;3.772389712485366;1.689363888;1.689363888;0.0;0.0;3.772389712485366
2019-09-16 10:00:00;0.31278903612884207;0.31278903612884207;0.0;1.5546174757894735;1.5546174757894735;0.0;0.0;0.0;0.0;0.0;0.0;1.476886602;0.0;0.0;1.476886602;0.0
2019-09-16 11:00:00;0.3169654167490526;0.3169654167490526;0.0;1.5753748347368421;1.5753748347368421;0.0;0.0;0.0;0.0;0.0;0.0;1.496606093;0.0;0.0;1.496606093;0.0
2019-09-16 12:00:00;0.27079520707368415;0.27079520707368415;0.0;1.3459006315789472;1.3459006315789472;0.0;0.0;0.0;0.0;0.0;0.0;1.2786056;0.0;0.0;1.2786056;0.0
2019-09-16 13:00:00;0.2706257250888421;0.2706257250888421;0.0;1.3450582757894736;1.3450582757894736;0.0;0.0;0.0;0.0;0.0;0.0;1.277805362;0.0;0.0;1.277805362;0.0
2019-09-16 14:00:00;0.2513371048795789;0.2513371048795789;0.0;1.249190382105263;1.249190382105263;0.0;0.0;0.0;0.0;0.0;0.0;1.186730863;0.0;0.0;1.186730863;0.0
2019-09-16 15:00:00;0.2751665415987368;0.2751665415987368;0.0;1.3676269463157895;1.3676269463157895;0.0;0.0;0.0;0.0;0.0;0.0;1.299245599;0.0;0.0;1.299245599;0.0
2019-09-16 16:00:00;0.27874859563284204;0.27874859563284204;0.0;1.3854303957894736;1.3854303957894736;0.0;0.0;0.0;0.0;0.0;0.0;1.316158876;0.0;0.0;1.316158876;0.0
2019-09-16 17:00:00;0.3114427620294737;0.3114427620294737;0.0;1.547926252631579;1.547926252631579;0.0;0.0;0.0;0.0;0.0;0.0;1.47052994;0.0;0.0;1.47052994;0.0
2019-09-16 18:00:00;0.30739166060126316;0.30739166060126316;0.0;1.5277915536842106;1.5277915536842106;0.0;0.0;0.0;0.0;0.0;0.0;1.451401976;0.0;0.0;1.451401976;0.0
2019-09-16 19:00:00;0.29129708340294735;0.29129708340294735;0.0;1.4477986252631578;1.4477986252631578;0.0;0.0;0.0;0.0;0.0;0.0;1.375408694;0.0;0.0;1.375408694;0.0
2019-09-16 20:00:00;0.27390747223873685;0.27390747223873685;0.0;1.3613691463157895;1.3613691463157895;0.0;0.0;0.0;0.0;0.0;0.0;1.293300689;0.0;0.0;1.293300689;0.0
2019-09-16 21:00:00;0.2576131608353684;0.2576131608353684;0.0;1.2803835031578947;1.2803835031578947;0.0;0.0;0.0;0.0;0.0;0.0;1.216364328;0.0;0.0;1.216364328;0.0
2019-09-16 22:00:00;0.25640760834568416;0.25640760834568416;0.0;1.2743916915789473;1.2743916915789473;0.0;0.0;0.0;0.0;0.0;0.0;1.210672107;0.0;0.0;1.210672107;0.0
2019-09-16 23:00:00;0.2484849510745263;0.2484849510745263;0.0;1.235014667368421;1.235014667368421;0.0;0.0;0.0;0.0;0.0;0.0;1.173263934;0.0;0.0;1.173263934;0.0
2019-09-17 00:00:00;0.2510784002252631;0.2510784002252631;0.0;1.2479045736842105;1.2479045736842105;0.0;0.0;0.0;0.0;0.0;0.0;1.185509345;0.0;0.0;1.185509345;0.0
2019-09-17 01:00:00;0.2581770511562105;0.2581770511562105;0.0;1.2831861389473682;1.2831861389473682;0.0;0.0;0.0;0.0;0.0;0.0;1.219026832;0.0;0.0;1.219026832;0.0
2019-09-17 02:00:00;0.26759382809894733;0.26759382809894733;0.0;1.329989205263158;1.329989205263158;0.0;0.0;0.0;0.0;0.0;0.0;1.263489745;0.0;0.0;1.263489745;0.0
2019-09-17 03:00:00;0.27418198189431575;0.27418198189431575;0.0;1.3627335084210526;1.3627335084210526;0.0;0.0;0.0;0.0;0.0;0.0;1.294596833;0.0;0.0;1.294596833;0.0
2019-09-17 04:00:00;-0.5605497176598759;0.27597240553599267;7.333898052802519;0.0;7.333898052802519;3.142942080490308;3.142942080490308;0.0;0.0;0.0;3.1429420804903074;1.535870192;1.535870192;0.0;0.0;3.1429420804903074
2019-09-17 05:00:00;-1.0708924510002573;0.2152977903828639;10.901541417501479;0.0;10.901541417501479;4.97277978354403;4.97277978354403;0.0;0.0;0.0;4.97277978354403;1.98208452;1.98208452;0.0;0.0;4.97277978354403
2019-09-17 06:00:00;-1.041481609715837;0.2378922684602509;10.434906594711709;0.0;10.434906594711709;4.733443643405324;4.733443643405324;0.0;0.0;0.0;4.733443643405324;1.923721303;1.923721303;0.0;0.0;4.733443643405324
2019-09-17 07:00:00;-0.9740891443586772;0.298796683149239;9.904273703147856;0.0;9.904273703147856;4.461283011804221;4.461283011804221;0.0;0.0;0.0;4.461283011804221;1.857353683;1.857353683;0.0;0.0;4.461283011804221
2019-09-17 08:00:00;-0.889677845353932;0.38901048608758027;9.173778701114522;0.0;9.173778701114522;4.086613472287147;4.086613472287147;0.0;0.0;0.0;4.086613472287147;1.765988795;1.765988795;0.0;0.0;4.086613472287147
2019-09-17 09:00:00;-0.8854310975217627;0.5579419057545887;9.026116453079284;0.0;9.026116453079284;4.010877777557653;4.010877777557653;0.0;0.0;0.0;4.010877777557653;1.747520298;1.747520298;0.0;0.0;4.010877777557653
2019-09-17 10:00:00;-0.5309831662486735;0.6258685181139066;7.095226096087522;0.0;7.095226096087522;3.020527674;3.020527674;0.0;0.0;0.0;3.020527674;1.843859788;1.843859788;0.0;0.0;3.020527674
2019-09-17 11:00:00;-0.4524535304780888;0.707933962435982;7.095226096087522;0.0;7.095226096087522;3.020527674;3.020527674;0.0;0.0;0.0;3.020527674;1.64621845;1.64621845;0.0;0.0;3.020527674
2019-09-17 12:00:00;-0.40551466332734654;0.7624092032007934;7.095226096087522;0.0;7.095226096087522;3.0205276740000007;3.0205276740000007;0.0;0.0;0.0;3.020527674;1.620038406;1.620038406;0.0;0.0;3.020527674
2019-09-17 13:00:00;0.3420877479368421;0.3420877479368421;0.0;1.7002373157894737;1.7002373157894737;0.0;0.0;0.0;0.0;0.0;0.0;1.61522545;0.0;0.0;1.61522545;0.0
2019-09-17 14:00:00;0.3214479168155789;0.3214479168155789;0.0;1.597653662105263;1.597653662105263;0.0;0.0;0.0;0.0;0.0;0.0;1.517770979;0.0;0.0;1.517770979;0.0
2019-09-17 15:00:00;0.3048914754867368;0.3048914754867368;0.0;1.5153651863157893;1.5153651863157893;0.0;0.0;0.0;0.0;0.0;0.0;1.439596927;0.0;0.0;1.439596927;0.0
2019-09-17 16:00:00;-0.4601727336117374;0.6869223261878893;7.095226096087522;0.0;7.095226096087522;3.020527674;3.020527674;0.0;0.0;0.0;3.020527674;1.532723834;1.532723834;0.0;0.0;3.020527674
2019-09-17 17:00:00;-0.6831798288770043;0.5760646853699516;8.095509989341796;0.0;8.095509989341796;3.5335714383361476;3.5335714383361476;0.0;0.0;0.0;3.5335714383361476;1.631126955;1.631126955;0.0;0.0;3.5335714383361476
2019-09-17 18:00:00;-0.7835305714599652;0.47554959560294363;8.49183005862202;0.0;8.49183005862202;3.7368432710595427;3.7368432710595427;0.0;0.0;0.0;3.7368432710595427;1.680695725;1.680695725;0.0;0.0;3.7368432710595427
2019-09-17 19:00:00;-0.6928209460871988;0.42469411289676784;7.848294650637714;0.0;7.848294650637714;3.4067751469775533;3.4067751469775533;0.0;0.0;0.0;3.4067751469775533;1.600207097;1.600207097;0.0;0.0;3.4067751469775533
2019-09-17 20:00:00;-0.7205039849188615;0.4467086271731029;7.9836691765302845;0.0;7.9836691765302845;3.4762084916785168;3.4762084916785168;0.0;0.0;0.0;3.4762084916785168;1.617138737;1.617138737;0.0;0.0;3.4762084916785168
2019-09-17 21:00:00;0.31434377672505254;0.31434377672505254;0.0;1.5623448147368417;1.5623448147368417;0.0;0.0;0.0;0.0;0.0;0.0;1.4842275739999997;0.0;0.0;1.4842275739999997;0.0
2019-09-17 22:00:00;-0.47699518190559353;0.5390299000376311;7.095226096087522;0.0;7.095226096087522;3.0205276740000007;3.0205276740000007;0.0;0.0;0.0;3.020527674;1.517844071;1.517844071;0.0;0.0;3.020527674
2019-09-17 23:00:00;-0.4350466644488118;0.5716951035769197;7.095226096087522;0.0;7.095226096087522;3.0205276740000007;3.0205276740000007;0.0;0.0;0.0;3.020527674;1.569621589;1.569621589;0.0;0.0;3.020527674
2019-09-18 00:00:00;-0.42429138396469757;0.5640001371573272;7.095226096087522;0.0;7.095226096087522;3.020527674;3.020527674;0.0;0.0;0.0;3.020527674;1.611201304;1.611201304;0.0;0.0;3.020527674
2019-09-18 01:00:00;-0.41319327661011185;0.5384388582850211;7.095226096087522;0.0;7.095226096087522;3.020527674;3.020527674;0.0;0.0;0.0;3.020527674;1.67951924;1.67951924;0.0;0.0;3.020527674
2019-09-18 02:00:00;-0.4057790531351795;0.5251212490724141;7.095226096087522;0.0;7.095226096087522;3.020527674;3.020527674;0.0;0.0;0.0;3.020527674;1.768609876;1.768609876;0.0;0.0;3.020527674
2019-09-18 03:00:00;-0.4517038687352064;0.46469595239683736;7.095226096087522;0.0;7.095226096087522;3.0205276740000007;3.0205276740000007;0.0;0.0;0.0;3.020527674;1.838313568;1.838313568;0.0;0.0;3.020527674
2019-09-18 04:00:00;-0.49556189431535436;0.392479920227333;7.095226096087522;0.0;7.095226096087522;3.020527674;3.020527674;0.0;0.0;0.0;3.020527674;2.145496201;2.145496201;0.0;0.0;3.020527674
2019-09-18 05:00:00;-1.3411560414207888;0.23479015200617326;12.194723109976993;0.0;12.194723109976993;5.636050289;5.636050289;0.0;0.0;0.0;5.636050289;2.515900309;2.515900309;0.0;0.0;5.636050289
2019-09-18 06:00:00;-1.3641675500504515;0.13529005209285216;12.194723109976993;0.0;12.194723109976993;5.636050289;5.636050289;0.0;0.0;0.0;5.636050289;2.464020476;2.464020476;0.0;0.0;5.636050289
2019-09-18 07:00:00;-1.3569556431924963;0.2297935172585106;12.194723109976993;0.0;12.194723109976993;5.636050289;5.636050289;0.0;0.0;0.0;5.636050289;2.353094516;2.353094516;0.0;0.0;5.636050289
2019-09-18 08:00:00;-1.3100392445644427;0.39642584750735943;11.892381351618129;0.0;11.892381351618129;5.480979758653061;5.480979758653061;0.0;0.0;0.0;5.480979758653061;2.106011418;2.106011418;0.0;0.0;5.480979758653061
2019-09-18 09:00:00;-0.9705513747311056;0.5799107450322118;9.776067215722076;0.0;9.776067215722076;4.395526140815079;4.395526140815079;0.0;0.0;0.0;4.395526140815079;1.841318568;1.841318568;0.0;0.0;4.395526140815079
2019-09-18 10:00:00;-0.5290525144315894;0.5877575871079973;7.095226096087522;0.0;7.095226096087522;3.0205276740000007;3.0205276740000007;0.0;0.0;0.0;3.020527674;1.601726529;1.601726529;0.0;0.0;3.020527674
2019-09-18 11:00:00;-0.5122021202156934;0.619617170608715;7.095226096087522;0.0;7.095226096087522;3.0205276740000007;3.0205276740000007;0.0;0.0;0.0;3.020527674;1.512344069;1.512344069;0.0;0.0;3.020527674
2019-09-18 12:00:00;0.29095244919368424;0.29095244919368424;0.0;1.4460857315789475;1.4460857315789475;0.0;0.0;0.0;0.0;0.0;0.0;1.373781445;0.0;0.0;1.373781445;0.0
2019-09-18 13:00:00;0.31622823138568423;0.31622823138568423;0.0;1.5717108915789475;1.5717108915789475;0.0;0.0;0.0;0.0;0.0;0.0;1.493125347;0.0;0.0;1.493125347;0.0
2019-09-18 14:00:00;0.31190876389094735;0.31190876389094735;0.0;1.5502423652631578;1.5502423652631578;0.0;0.0;0.0;0.0;0.0;0.0;1.472730247;0.0;0.0;1.472730247;0.0
2019-09-18 15:00:00;0.31321160272252624;0.31321160272252624;0.0;1.5567177073684209;1.5567177073684209;0.0;0.0;0.0;0.0;0.0;0.0;1.478881822;0.0;0.0;1.478881822;0.0
2019-09-18 16:00:00;-0.7380927683489871;0.3603138714134486;7.888736627323276;0.0;7.888736627323276;3.427517762244958;3.427517762244958;0.0;0.0;0.0;3.427517762244958;1.605265279;1.605265279;0.0;0.0;3.427517762244958
2019-09-18 17:00:00;-0.8637275714957033;0.10471395311959131;8.28096489617158;0.0;8.28096489617158;3.628690918072063;3.628690918072063;0.0;0.0;0.0;3.628690918072063;1.654322277;1.654322277;0.0;0.0;3.628690918072063
2019-09-18 18:00:00;-0.9131740276776565;-0.006706581118819388;8.5596534105594;0.0;8.5596534105594;3.771629743202611;3.771629743202611;0.0;0.0;0.0;3.771629743202611;1.689178566;1.689178566;0.0;0.0;3.771629743202611
2019-09-18 19:00:00;-0.8011240753988063;0.0192937399592652;7.901721416771025;0.0;7.901721416771025;3.434177636808881;3.434177636808881;0.0;0.0;0.0;3.434177636808881;1.60688932;1.60688932;0.0;0.0;3.434177636808881
2019-09-18 20:00:00;-0.7292300869143875;0.06137771652014168;7.478007363559177;0.0;7.478007363559177;3.2168554802412013;3.2168554802412013;0.0;0.0;0.0;3.2168554802412013;1.553894314;1.553894314;0.0;0.0;3.2168554802412013
2019-09-18 21:00:00;0.30788952195326313;0.30788952195326313;0.0;1.5302660136842106;1.5302660136842106;0.0;0.0;0.0;0.0;0.0;0.0;1.453752713;0.0;0.0;1.453752713;0.0
2019-09-18 22:00:00;0.31459398946863154;0.31459398946863154;0.0;1.5635884168421053;1.5635884168421053;0.0;0.0;0.0;0.0;0.0;0.0;1.485408996;0.0;0.0;1.485408996;0.0
2019-09-18 23:00:00;-0.6368794644329647;0.15083681635082513;7.367022845610334;0.0;7.367022845610334;3.1599317256396335;3.1599317256396335;0.0;0.0;0.0;3.1599317256396335;1.540013195;1.540013195;0.0;0.0;3.1599317256396335
2019-09-19 00:00:00;0.31874279531115784;0.31874279531115784;0.0;1.584208724210526;1.584208724210526;0.0;0.0;0.0;0.0;0.0;0.0;1.504998288;0.0;0.0;1.504998288;0.0
2019-09-19 01:00:00;-0.6725310454521876;0.14266284618292713;7.922658509366647;0.0;7.922658509366647;3.4449162329933762;3.4449162329933762;0.0;0.0;0.0;3.444916232993376;1.609507976;1.609507976;0.0;0.0;3.444916232993376
2019-09-19 02:00:00;-0.5749208401230574;0.12369110952638307;7.095226096087522;0.0;7.095226096087522;3.020527674;3.020527674;0.0;0.0;0.0;3.020527674;1.641020763;1.641020763;0.0;0.0;3.020527674
2019-09-19 03:00:00;-0.8929458653727149;0.041186844743430706;9.135435793776626;0.0;9.135435793776626;4.066947465817496;4.066947465817496;0.0;0.0;0.0;4.0669474658174956;1.761193149;1.761193149;0.0;0.0;4.0669474658174956
2019-09-19 04:00:00;-1.3462220689591087;-0.1675427275894319;11.614052732286781;0.0;11.614052732286781;5.338225523033335;5.338225523033335;0.0;0.0;0.0;5.338225523033335;2.071200142;2.071200142;0.0;0.0;5.338225523033335
2019-09-19 05:00:00;-1.5537899539814775;-0.3885476428416461;12.194723109976993;0.0;12.194723109976993;5.636050289;5.636050289;0.0;0.0;0.0;5.636050289;2.523624943;2.523624943;0.0;0.0;5.636050289
2019-09-19 06:00:00;-1.5757742811738695;-0.4412308821763866;12.194723109976993;0.0;12.194723109976993;5.636050289;5.636050289;0.0;0.0;0.0;5.636050289;2.488119417;2.488119417;0.0;0.0;5.636050289
2019-09-19 07:00:00;-1.6123120456027675;-0.34815989809638204;12.194723109976993;0.0;12.194723109976993;5.636050289;5.636050289;0.0;0.0;0.0;5.636050289;2.372607501;2.372607501;0.0;0.0;5.636050289
2019-09-19 08:00:00;-1.5580824199456447;-0.17188693927639997;11.877157877878671;0.0;11.877157877878671;5.473171667044034;5.473171667044034;0.0;0.0;0.0;5.473171667044034;2.104107379;2.104107379;0.0;0.0;5.473171667044034
2019-09-19 09:00:00;-1.3872023309718196;0.08250342273709999;10.957879005704866;0.0;10.957879005704866;5.001675228647571;5.001675228647571;0.0;0.0;0.0;5.001675228647571;1.989130807;1.989130807;0.0;0.0;5.001675228647571
2019-09-19 10:00:00;-1.127817361526326;0.26988088364536167;9.667366188052025;0.0;9.667366188052025;4.339773584166769;4.339773584166769;0.0;0.0;0.0;4.339773584166769;1.827723051;1.827723051;0.0;0.0;4.339773584166769
2019-09-19 11:00:00;-0.9785513306051685;0.31788716410094575;8.87573275303179;0.0;8.87573275303179;3.9337462551094036;3.9337462551094036;0.0;0.0;0.0;3.9337462551094036;1.728711422;1.728711422;0.0;0.0;3.9337462551094036
2019-09-19 12:00:00;-0.7469651331292959;0.3272799038304912;7.510278124190677;0.0;7.510278124190677;3.2334070938621227;3.2334070938621227;0.0;0.0;0.0;3.233407093862122;1.557930501;1.557930501;0.0;0.0;3.233407093862122
2019-09-19 13:00:00;0.30081263472042097;0.30081263472042097;0.0;1.4950926178947366;1.4950926178947366;0.0;0.0;0.0;0.0;0.0;0.0;1.420337987;0.0;0.0;1.420337987;0.0
2019-09-19 14:00:00;0.2944714335932631;0.2944714335932631;0.0;1.4635757136842105;1.4635757136842105;0.0;0.0;0.0;0.0;0.0;0.0;1.390396928;0.0;0.0;1.390396928;0.0
2019-09-19 15:00:00;0.28997238345010523;0.28997238345010523;0.0;1.441214629473684;1.441214629473684;0.0;0.0;0.0;0.0;0.0;0.0;1.369153898;0.0;0.0;1.369153898;0.0
