;hp;ice;plb
invest;2045481.7026460143;5354247.774549998;256800.00000000003
op_cost_fix;17045.680855383453;54951.49031774998;8346.0
op_cost_var;4647.58733812286;120015.53523895041;21437.92948002928
op_cost;21693.268193506312;174967.0255567004;29783.92948002928
