date;heat_demand;temp_feed_flow;temp_back_flow;hp_P_max;hp_P_min;hp_c_1;hp_c_0;ice_P_max_woDH;ice_eta_el_max;ice_P_min_woDH;ice_eta_el_min;ice_H_L_FG_share_max;ice_H_L_FG_share_min;ice_Q_in;el_spot_price;gas_price;co2_price;ef_om;ef_dm
01.01.2019 23:00;3.714470454;66;37;1.352654058;0.519686273;3.677537902;-0.602673437;5.636050289;0.462171239;3.020527674;0.425712674;0.195275329;0.362029273;12.95649982;-28.93;24.134;22.95;0.217072615;0.63255548
02.01.2019 00:00;3.719435254;66;37;1.352654058;0.519686273;3.677537902;-0.602673437;5.636050289;0.462171239;3.020527674;0.425712674;0.195275329;0.362029273;12.95649982;-33.57;24.134;22.95;0.22519613;0.642577347
02.01.2019 01:00;3.868786003;66;37;1.352654058;0.519686273;3.677537902;-0.602673437;5.636050289;0.462171239;3.020527674;0.425712674;0.195275329;0.362029273;12.95649982;-45.92;24.134;22.95;0.213797495;0.616798494
02.01.2019 02:00;4.034449788;66;37;1.352654058;0.519686273;3.677537902;-0.602673437;5.636050289;0.462171239;3.020527674;0.425712674;0.195275329;0.362029273;12.95649982;-48.29;24.134;22.95;0.217803094;0.620232347
02.01.2019 03:00;4.093285085;66;37;1.352654058;0.519686273;3.677537902;-0.602673437;5.636050289;0.462171239;3.020527674;0.425712674;0.195275329;0.362029273;12.95649982;-44.99;24.134;22.95;0.221644296;0.622321029
02.01.2019 04:00;4.198015986;67;37;1.357168001;0.523027527;3.62512117;-0.603199545;5.636050289;0.462171239;3.020527674;0.425712674;0.195275329;0.362029273;12.95649982;-48.93;24.134;22.95;0.22266861;0.623713355
02.01.2019 05:00;4.929629684;69;37;1.366435344;0.529685092;3.51971739;-0.601903711;5.636050289;0.462171239;3.020527674;0.425712674;0.195275329;0.362029273;12.95649982;-29.91;24.134;22.95;0.234112988;0.637443893
02.01.2019 06:00;5.881193847;74;37;1.403216509;0.544576268;3.197030988;-0.538510898;5.636050289;0.462171239;3.020527674;0.425712674;0.195275329;0.362029273;12.95649982;-0.01;24.134;22.95;0.241984991;0.613283026
02.01.2019 07:00;6.586915392;80;37;1.450140206;0.559370372;2.787246368;-0.428382177;5.636050289;0.462171239;3.020527674;0.425712674;0.195275329;0.362029273;12.95649982;37.43;24.134;22.95;0.256639976;0.615004369
02.01.2019 08:00;5.909192429;79;38;1.443091091;0.55729642;2.856937893;-0.44878461;5.636050289;0.462171239;3.020527674;0.425712674;0.195275329;0.362029273;12.95649982;48.06;24.134;22.95;0.281172976;0.63087509
02.01.2019 09:00;4.704421146;73;38;1.394728463;0.541826197;3.265289612;-0.555313704;5.636050289;0.462171239;3.020527674;0.425712674;0.195275329;0.362029273;12.95649982;50.74;24.134;22.95;0.295354867;0.647024406
02.01.2019 10:00;3.661407134;69;38;1.366435344;0.529685092;3.51971739;-0.601903711;5.636050289;0.462171239;3.020527674;0.425712674;0.195275329;0.362029273;12.95649982;47.57;24.134;22.95;0.29213302;0.654455279
02.01.2019 11:00;3.224273135;67;38;1.357168001;0.523027527;3.62512117;-0.603199545;5.636050289;0.462171239;3.020527674;0.425712674;0.195275329;0.362029273;12.95649982;43.94;24.134;22.95;0.284810527;0.653735052
02.01.2019 12:00;3.362086044;67;38;1.357168001;0.523027527;3.62512117;-0.603199545;5.636050289;0.462171239;3.020527674;0.425712674;0.195275329;0.362029273;12.95649982;40.97;24.134;22.95;0.281872988;0.654162232
02.01.2019 13:00;3.458334586;68;38;1.361681944;0.526368781;3.572932605;-0.603293672;5.636050289;0.462171239;3.020527674;0.425712674;0.195275329;0.362029273;12.95649982;44.95;24.134;22.95;0.286202569;0.651740813
02.01.2019 14:00;3.466011748;67;38;1.357168001;0.523027527;3.62512117;-0.603199545;5.636050289;0.462171239;3.020527674;0.425712674;0.195275329;0.362029273;12.95649982;49.64;24.134;22.95;0.314511991;0.666871096
02.01.2019 15:00;3.734736839;67;38;1.357168001;0.523027527;3.62512117;-0.603199545;5.636050289;0.462171239;3.020527674;0.425712674;0.195275329;0.362029273;12.95649982;53.67;24.134;22.95;0.359471854;0.683520315
02.01.2019 16:00;3.867027452;67;38;1.357168001;0.523027527;3.62512117;-0.603199545;5.636050289;0.462171239;3.020527674;0.425712674;0.195275329;0.362029273;12.95649982;56.01;24.134;22.95;0.40043137;0.695967443
02.01.2019 17:00;4.080157595;67;38;1.357168001;0.523027527;3.62512117;-0.603199545;5.636050289;0.462171239;3.020527674;0.425712674;0.195275329;0.362029273;12.95649982;56.95;24.134;22.95;0.414566829;0.702367344
02.01.2019 18:00;4.2721926;68;38;1.361681944;0.526368781;3.572932605;-0.603293672;5.636050289;0.462171239;3.020527674;0.425712674;0.195275329;0.362029273;12.95649982;62.08;24.134;22.95;0.430174714;0.706105623
02.01.2019 19:00;4.380608117;68;38;1.361681944;0.526368781;3.572932605;-0.603293672;5.636050289;0.462171239;3.020527674;0.425712674;0.195275329;0.362029273;12.95649982;62.11;24.134;22.95;0.440842977;0.711553269
02.01.2019 20:00;4.192424278;68;38;1.361681944;0.526368781;3.572932605;-0.603293672;5.636050289;0.462171239;3.020527674;0.425712674;0.195275329;0.362029273;12.95649982;57.99;24.134;22.95;0.452666137;0.717839405
02.01.2019 21:00;4.071418149;68;38;1.361681944;0.526368781;3.572932605;-0.603293672;5.636050289;0.462171239;3.020527674;0.425712674;0.195275329;0.362029273;12.95649982;55.64;24.134;22.95;0.456186171;0.715809136
